pt,tier,concept,note
RHABDOMYOLYSIS,core,rhabdomyolysis,"39099 reports; present in all 90 quarters"
EXERTIONAL RHABDOMYOLYSIS,core,rhabdomyolysis,"30 reports; MedDRA term added 2024q2"
MYOGLOBINURIA,core,myoglobin_release,"506 reports"
MYOGLOBIN URINE PRESENT,core,myoglobin_release,"221 reports; same concept as myoglobinuria"
MYOGLOBIN URINE,core,myoglobin_release,"33 reports"
MYOGLOBINAEMIA,core,myoglobin_release,"118 reports"
MYOGLOBIN BLOOD INCREASED,core,myoglobin_release,"1436 reports; 12x larger than MYOGLOBINAEMIA and absent from the seed list"
MYOGLOBIN BLOOD PRESENT,core,myoglobin_release,"25 reports"
MUSCLE NECROSIS,core,muscle_necrosis,"882 reports; present in all 90 quarters"
NECROTISING MYOSITIS,core,muscle_necrosis,"778 reports; MedDRA term added 2014q2"
MYOPATHY,broad,myopathy,"8233 reports"
MYOPATHY TOXIC,broad,myopathy,"573 reports; the seed list said 'Toxic myopathy', which matches nothing -- FAERS word order is MYOPATHY TOXIC"
MYOSITIS,broad,myositis,"8439 reports"
MUSCLE DISORDER,broad,muscle_disorder,"7910 reports"
MUSCULAR WEAKNESS,broad,muscle_symptom,"109416 reports; highly non-specific"
MYALGIA,broad,muscle_symptom,"163419 reports; highly non-specific, reported against almost everything"
BLOOD CREATINE PHOSPHOKINASE INCREASED,broad,ck_increased,"27880 reports; retired after 2026q1"
CREATINE KINASE INCREASED,broad,ck_increased,"404 reports; MedDRA rename of the above, live from 2026q2"
BLOOD CREATINE PHOSPHOKINASE ABNORMAL,broad,ck_abnormal,"441 reports; retired after 2026q1"
CREATINE KINASE ABNORMAL,broad,ck_abnormal,"16 reports; MedDRA rename, live from 2026q2"
BLOOD CREATINE PHOSPHOKINASE MM INCREASED,broad,ck_increased,"25 reports; MM is the skeletal-muscle isoenzyme"
IMMUNE-MEDIATED NECROTISING MYOPATHY,broad,immune_myopathy,"524 reports; 2012q3-2019q3 only. NOT core -- see the module docstring on the non-equivalent rename"
IMMUNE-MEDIATED MYOSITIS,broad,immune_myopathy,"2483 reports; 2019q4 onward. ~5x the per-quarter volume of the term it replaced, so the rename broadened the concept"
