quarter,era,member,kind,table,uncompressed_bytes
2004q1,laers,ascii/,directory,,0
2004q1,laers,ascii/Asc_nts.doc,documentation,,91648
2004q1,laers,ascii/DEMO04Q1.TXT,table,demo,8201852
2004q1,laers,ascii/DRUG04Q1.TXT,table,drug,12830781
2004q1,laers,ascii/INDI04Q1.TXT,table,indi,3000273
2004q1,laers,ascii/OUTC04Q1.TXT,table,outc,748710
2004q1,laers,ascii/REAC04Q1.TXT,table,reac,7168635
2004q1,laers,ascii/RPSR04Q1.TXT,table,rpsr,1062507
2004q1,laers,ascii/STAT04Q1.TXT,table,stat,11593
2004q1,laers,ascii/THER04Q1.TXT,table,ther,3162391
2004q1,laers,README.doc,documentation,,31232
2004q1,laers,SIZE04Q1.TXT,documentation,,1063
2004q2,laers,ascii/,directory,,0
2004q2,laers,ascii/Asc_nts.doc,documentation,,91648
2004q2,laers,ascii/DEMO04Q2.TXT,table,demo,7401827
2004q2,laers,ascii/DRUG04Q2.TXT,table,drug,12850228
2004q2,laers,ascii/INDI04Q2.TXT,table,indi,3026663
2004q2,laers,ascii/OUTC04Q2.TXT,table,outc,808835
2004q2,laers,ascii/REAC04Q2.TXT,table,reac,6975162
2004q2,laers,ascii/RPSR04Q2.TXT,table,rpsr,1075055
2004q2,laers,ascii/STAT04Q2.TXT,table,stat,11770
2004q2,laers,ascii/THER04Q2.TXT,table,ther,3062870
2004q2,laers,README.doc,documentation,,31232
2004q2,laers,SIZE04Q2.TXT,documentation,,1063
2004q3,laers,ascii/,directory,,0
2004q3,laers,ascii/Asc_nts.doc,documentation,,91648
2004q3,laers,ascii/DEMO04Q3.TXT,table,demo,9286180
2004q3,laers,ascii/DRUG04Q3.TXT,table,drug,14782255
2004q3,laers,ascii/INDI04Q3.TXT,table,indi,3677164
2004q3,laers,ascii/OUTC04Q3.TXT,table,outc,869298
2004q3,laers,ascii/REAC04Q3.TXT,table,reac,7897198
2004q3,laers,ascii/RPSR04Q3.TXT,table,rpsr,1192744
2004q3,laers,ascii/STAT04Q3.TXT,table,stat,11770
2004q3,laers,ascii/THER04Q3.TXT,table,ther,3527404
2004q3,laers,README.doc,documentation,,31232
2004q3,laers,SIZE04Q3.TXT,documentation,,1063
2004q4,laers,ascii/,directory,,0
2004q4,laers,ascii/Asc_nts.doc,documentation,,91648
2004q4,laers,ascii/DEMO04Q4.TXT,table,demo,8712746
2004q4,laers,ascii/DRUG04Q4.TXT,table,drug,14999740
2004q4,laers,ascii/INDI04Q4.TXT,table,indi,3745869
2004q4,laers,ascii/OUTC04Q4.TXT,table,outc,962534
2004q4,laers,ascii/REAC04Q4.TXT,table,reac,8001096
2004q4,laers,ascii/RPSR04Q4.TXT,table,rpsr,991882
2004q4,laers,ascii/STAT04Q4.TXT,table,stat,11298
2004q4,laers,ascii/THER04Q4.TXT,table,ther,3532615
2004q4,laers,README.doc,documentation,,31232
2004q4,laers,SIZE04Q4.TXT,documentation,,1063
2005q1,laers,ascii/,directory,,0
2005q1,laers,ascii/Asc_nts.doc,documentation,,91648
2005q1,laers,ascii/DEMO05Q1.TXT,table,demo,9263697
2005q1,laers,ascii/DRUG05Q1.TXT,table,drug,15040320
2005q1,laers,ascii/INDI05Q1.TXT,table,indi,4150255
2005q1,laers,ascii/OUTC05Q1.TXT,table,outc,1003523
2005q1,laers,ascii/REAC05Q1.TXT,table,reac,8549404
2005q1,laers,ascii/RPSR05Q1.TXT,table,rpsr,941718
2005q1,laers,ascii/STAT05Q1.TXT,table,stat,11711
2005q1,laers,ascii/THER05Q1.TXT,table,ther,3737954
2005q1,laers,README.doc,documentation,,31232
2005q1,laers,SIZE05Q1.TXT,documentation,,1063
2005q2,laers,ascii/,directory,,0
2005q2,laers,ascii/Asc_nts.doc,documentation,,91648
2005q2,laers,ascii/DEMO05Q2.TXT,table,demo,9827500
2005q2,laers,ascii/DRUG05Q2.TXT,table,drug,17477377
2005q2,laers,ascii/INDI05Q2.TXT,table,indi,4766959
2005q2,laers,ascii/OUTC05Q2.TXT,table,outc,1051272
