quarter,era,table,member,n_columns,columns,uncompressed_bytes
2004q1,laers,demo,ascii/DEMO04Q1.TXT,22,isr;case;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;gndr_cod;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid,8201852
2004q1,laers,drug,ascii/DRUG04Q1.TXT,12,isr;drug_seq;role_cod;drugname;val_vbm;route;dose_vbm;dechal;rechal;lot_num;exp_dt;nda_num,12830781
2004q1,laers,indi,ascii/INDI04Q1.TXT,3,isr;drug_seq;indi_pt,3000273
2004q1,laers,outc,ascii/OUTC04Q1.TXT,2,isr;outc_cod,748710
2004q1,laers,reac,ascii/REAC04Q1.TXT,2,isr;pt,7168635
2004q1,laers,rpsr,ascii/RPSR04Q1.TXT,2,isr;rpsr_cod,1062507
2004q1,laers,stat,ascii/STAT04Q1.TXT,1,,11593
2004q1,laers,ther,ascii/THER04Q1.TXT,6,isr;drug_seq;start_dt;end_dt;dur;dur_cod,3162391
2004q2,laers,demo,ascii/DEMO04Q2.TXT,22,isr;case;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;gndr_cod;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid,7401827
2004q2,laers,drug,ascii/DRUG04Q2.TXT,12,isr;drug_seq;role_cod;drugname;val_vbm;route;dose_vbm;dechal;rechal;lot_num;exp_dt;nda_num,12850228
2004q2,laers,indi,ascii/INDI04Q2.TXT,3,isr;drug_seq;indi_pt,3026663
2004q2,laers,outc,ascii/OUTC04Q2.TXT,2,isr;outc_cod,808835
2004q2,laers,reac,ascii/REAC04Q2.TXT,2,isr;pt,6975162
2004q2,laers,rpsr,ascii/RPSR04Q2.TXT,2,isr;rpsr_cod,1075055
2004q2,laers,stat,ascii/STAT04Q2.TXT,1,,11770
2004q2,laers,ther,ascii/THER04Q2.TXT,6,isr;drug_seq;start_dt;end_dt;dur;dur_cod,3062870
2004q3,laers,demo,ascii/DEMO04Q3.TXT,22,isr;case;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;gndr_cod;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid,9286180
2004q3,laers,drug,ascii/DRUG04Q3.TXT,12,isr;drug_seq;role_cod;drugname;val_vbm;route;dose_vbm;dechal;rechal;lot_num;exp_dt;nda_num,14782255
2004q3,laers,indi,ascii/INDI04Q3.TXT,3,isr;drug_seq;indi_pt,3677164
2004q3,laers,outc,ascii/OUTC04Q3.TXT,2,isr;outc_cod,869298
2004q3,laers,reac,ascii/REAC04Q3.TXT,2,isr;pt,7897198
2004q3,laers,rpsr,ascii/RPSR04Q3.TXT,2,isr;rpsr_cod,1192744
2004q3,laers,stat,ascii/STAT04Q3.TXT,1,,11770
2004q3,laers,ther,ascii/THER04Q3.TXT,6,isr;drug_seq;start_dt;end_dt;dur;dur_cod,3527404
2004q4,laers,demo,ascii/DEMO04Q4.TXT,22,isr;case;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;gndr_cod;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid,8712746
2004q4,laers,drug,ascii/DRUG04Q4.TXT,12,isr;drug_seq;role_cod;drugname;val_vbm;route;dose_vbm;dechal;rechal;lot_num;exp_dt;nda_num,14999740
2004q4,laers,indi,ascii/INDI04Q4.TXT,3,isr;drug_seq;indi_pt,3745869
