quarter,era,filename,url,bytes,sha256,n_members,zip_ok,cached,error,retrieved_utc,members
2004q1,laers,aers_ascii_2004q1.zip,https://fis.fda.gov/content/Exports/aers_ascii_2004q1.zip,7582957,649ed8ec2b30b5e5c2824a3a7a5b37473652293a77988e677d638d73f9a34423,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE04Q1.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO04Q1.TXT;ascii/DRUG04Q1.TXT;ascii/INDI04Q1.TXT;ascii/OUTC04Q1.TXT;ascii/REAC04Q1.TXT;ascii/RPSR04Q1.TXT;ascii/STAT04Q1.TXT;ascii/THER04Q1.TXT
2004q2,laers,aers_ascii_2004q2.zip,https://fis.fda.gov/content/Exports/aers_ascii_2004q2.zip,7416958,56530ed14e0591df2827a9a68152cf80e2d621cba2efc00adfa6e817448193c9,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE04Q2.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO04Q2.TXT;ascii/DRUG04Q2.TXT;ascii/INDI04Q2.TXT;ascii/OUTC04Q2.TXT;ascii/REAC04Q2.TXT;ascii/RPSR04Q2.TXT;ascii/STAT04Q2.TXT;ascii/THER04Q2.TXT
2004q3,laers,aers_ascii_2004q3.zip,https://fis.fda.gov/content/Exports/aers_ascii_2004q3.zip,8500763,7e7038c03173764e26bd10246bb1fb4504729273cf1ef46251758383131daebc,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE04Q3.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO04Q3.TXT;ascii/DRUG04Q3.TXT;ascii/INDI04Q3.TXT;ascii/OUTC04Q3.TXT;ascii/REAC04Q3.TXT;ascii/RPSR04Q3.TXT;ascii/STAT04Q3.TXT;ascii/THER04Q3.TXT
2004q4,laers,aers_ascii_2004q4.zip,https://fis.fda.gov/content/Exports/aers_ascii_2004q4.zip,8472199,f947231a6f353c45b903c016c5f0165cedace07b310c602c4a2baaa896248d5c,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE04Q4.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO04Q4.TXT;ascii/DRUG04Q4.TXT;ascii/INDI04Q4.TXT;ascii/OUTC04Q4.TXT;ascii/REAC04Q4.TXT;ascii/RPSR04Q4.TXT;ascii/STAT04Q4.TXT;ascii/THER04Q4.TXT
2005q1,laers,aers_ascii_2005q1.zip,https://fis.fda.gov/content/Exports/aers_ascii_2005q1.zip,8864096,bd1a8df126d5b6c445e3c49bdbaf08c51751edecf6c6293475879cde8d3088c4,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE05Q1.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO05Q1.TXT;ascii/DRUG05Q1.TXT;ascii/INDI05Q1.TXT;ascii/OUTC05Q1.TXT;ascii/REAC05Q1.TXT;ascii/RPSR05Q1.TXT;ascii/STAT05Q1.TXT;ascii/THER05Q1.TXT
2005q2,laers,aers_ascii_2005q2.zip,https://fis.fda.gov/content/Exports/aers_ascii_2005q2.zip,9878062,65c4a4ae063f010ca45c2a1844a4a27e26c70759f284053829e3bd79c693a7f7,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE05Q2.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO05Q2.TXT;ascii/DRUG05Q2.TXT;ascii/INDI05Q2.TXT;ascii/OUTC05Q2.TXT;ascii/REAC05Q2.TXT;ascii/RPSR05Q2.TXT;ascii/STAT05Q2.TXT;ascii/THER05Q2.TXT
2005q3,laers,aers_ascii_2005q3.zip,https://fis.fda.gov/content/Exports/aers_ascii_2005q3.zip,9750897,ecada88b99a000db59cb6ada1c3b00414107fc67d8602122044e4b3af2adbd02,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE05Q3.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO05Q3.TXT;ascii/DRUG05Q3.TXT;ascii/INDI05Q3.TXT;ascii/OUTC05Q3.TXT;ascii/REAC05Q3.TXT;ascii/RPSR05Q3.TXT;ascii/STAT05Q3.TXT;ascii/THER05Q3.TXT
2005q4,laers,aers_ascii_2005q4.zip,https://fis.fda.gov/content/Exports/aers_ascii_2005q4.zip,10089154,09fd999756fa3cea44a093930ec73970cd22f102ec26239faf4a809bfdfa4efd,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE05Q4.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO05Q4.TXT;ascii/DRUG05Q4.TXT;ascii/INDI05Q4.TXT;ascii/OUTC05Q4.TXT;ascii/REAC05Q4.TXT;ascii/RPSR05Q4.TXT;ascii/STAT05Q4.TXT;ascii/THER05Q4.TXT
2006q1,laers,aers_ascii_2006q1.zip,https://fis.fda.gov/content/Exports/aers_ascii_2006q1.zip,10848783,5f53a8c90d9540c1fa30f45ca85a8845186f732fe0205739b32d6eda0f6f204f,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE06Q1.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO06Q1.TXT;ascii/DRUG06Q1.TXT;ascii/INDI06Q1.TXT;ascii/OUTC06Q1.TXT;ascii/REAC06Q1.TXT;ascii/RPSR06Q1.TXT;ascii/STAT06Q1.TXT;ascii/THER06Q1.TXT
2006q2,laers,aers_ascii_2006q2.zip,https://fis.fda.gov/content/Exports/aers_ascii_2006q2.zip,10154467,c439e539872e5cf09a1e038957b0edad9e7f8798b91879dcd7b5259029310f3b,12,True,True,,2026-08-02T21:58:03+00:00,README.doc;SIZE06Q2.TXT;ascii/;ascii/Asc_nts.doc;ascii/DEMO06Q2.TXT;ascii/DRUG06Q2.TXT;ascii/INDI06Q2.TXT;ascii/OUTC06Q2.TXT;ascii/REAC06Q2.TXT;ascii/RPSR06Q2.TXT;ascii/STAT06Q2.TXT;ascii/THER06Q2.TXT
