drug_a,drug_b,support,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower,naive_log2_oe,eras_with_signal,om025_2004-2012,om025_2013-2018,om025_2019-2026
PREGABALIN,VALSARTAN,unsupported,388,31,1.7967158158021053,3.7777075676535126,3.2250231034722256,1.9237887276349857,3.700015973400723,3.147331509219436,3.3933598304363106,3,0.8626982715038177,3.5672084937103676,0.9153154668269834
OMEPRAZOLE,WARFARIN,unsupported,594,43,3.538752043455961,3.429033920408715,2.9654150404433706,4.32569876677228,3.172205634428419,2.7085867544630746,5.156822474243735,3,0.5329128748323969,2.2334144552639823,2.5936880383851397
PAROXETINE,VALSARTAN,unsupported,217,22,1.74779069430891,3.323345392773064,2.6575908617907094,1.9153525952952524,3.2196192860045385,2.5538647550221842,4.009960385520537,3,1.3079422830306349,2.122274984075951,0.5011498730985539
CYCLOSPORINE,SIMVASTATIN,positive_control,456,324,48.13354486781601,2.7381948205886264,2.576774873837934,123.96432415410708,1.3824862037359442,1.2210662569852522,8.25241093806915,3,2.1611561401667747,2.6588640074772414,2.654851078186907
LEVOTHYROXINE,VALSARTAN,unsupported,779,22,2.1731946517652485,3.073288203413126,2.4075336724307714,2.2181634893067512,3.049220863874607,2.3834663328922523,3.630539775255221,3,1.2413101992618674,2.131181570342963,0.5562877875709337
IRBESARTAN,PREGABALIN,unsupported,281,26,3.4348324023168377,2.7516182667327658,2.143731540504393,5.7644872035765955,2.0807240358597547,1.4728373096313818,5.111458235901552,3,0.49531148867961655,2.218831904150294,0.8492596570530032
FLUCONAZOLE,SIMVASTATIN,known_pair,234,137,26.156679607212457,2.3668626259912497,2.11505759164318,85.44671978901697,0.6779171341403879,0.4261120997923179,7.8018170913997995,3,1.8440765729509072,1.9915838603144294,1.8759861356893581
ATORVASTATIN,CYCLOSPORINE,known_pair,474,116,25.334383303012263,2.1729656044134735,1.8983567161182542,74.12805850979146,0.6425398956643441,0.36793100736912504,6.131699526244961,3,2.063304416375516,1.910415492778479,1.1581573015245
CLARITHROMYCIN,SIMVASTATIN,positive_control,499,236,59.41356913356328,1.9808854990648754,1.7908810942985836,216.03368973048592,0.12724867720001504,-0.06275572756627676,8.50856810418888,3,1.1491450328514998,1.729010902873266,2.3024711145282803
CYCLOSPORINE,EZETIMIBE,known_pair,183,51,10.649203655640735,2.2076317645796095,1.7843272643662422,29.853480505157385,0.7627104785946909,0.3394059783813238,6.071807864931166,3,0.5494655116601552,1.2765581034820512,2.215881360368032
CIPROFLOXACIN,SIMVASTATIN,plausible,377,152,40.3260092808916,1.9012487857247533,1.6626801957628863,111.24137615371637,0.44864574961462983,0.21007715965276275,7.519093102869499,3,1.2169882569771566,1.8582170237615177,1.585322901360464
CYCLOSPORINE,ROSUVASTATIN,positive_control,172,48,11.092678424799766,2.064770815662346,1.6275819400981029,32.7556347771371,0.5443859382261181,0.10719706266187555,5.392914298225007,3,0.8119019684821897,2.0604682590030206,0.6252069155068187
ASPIRIN,METOPROLOL,unsupported,3007,57,13.75269986503665,2.0123267235896876,1.6133045430696944,15.329572267057577,1.8609396833066183,1.4619175027866254,5.303455406927975,3,1.4021343544730798,2.0210014925949134,0.6342152494575677
ATORVASTATIN,COLCHICINE,positive_control,524,154,50.52464639202365,1.5983406538039289,1.361385674319472,233.2267765045707,-0.5972161853255491,-0.8341711648100059,7.953744505077318,3,0.6752288909053131,1.78504265320761,0.8693309849635305
AZITHROMYCIN,SIMVASTATIN,known_pair,166,60,17.54890647235637,1.745023711075304,1.356702997005047,46.52507887301475,0.36350477887030214,-0.024815935199954894,6.382572183014868,3,1.2576592332401266,0.9410572819686025,1.020134165641097
LITHIUM,ZIPRASIDONE,unsupported,609,39,12.156782947391871,1.6419419006276381,1.1534522879068227,27.201995355576614,0.5118627569460462,0.02337314422523092,6.218607138740119,3,0.606948997841862,0.610939726910068,0.46954504932187374
DILTIAZEM,SIMVASTATIN,positive_control,496,144,54.52733171752022,1.392849213720376,1.1474849590151628,121.2278098531706,0.2474106898847971,0.002046435179583731,7.886842851413372,3,0.997366254682881,0.6824054910950736,0.9498614955597605
ATORVASTATIN,FUSIDIC ACID,plausible,185,155,64.41093756743412,1.2603810807663804,1.0242208847450793,158.65129314103854,-0.03348429889621051,-0.26964449491751163,8.245026002813503,3,0.48739872936948714,0.7045990092596911,1.3144766512557926
ASPIRIN,RAMIPRIL,unsupported,3152,79,30.6366419899307,1.352341498693694,1.0165082498181228,36.28476217350831,1.1118465965426092,0.776013347667038,6.175618832498889,3,0.6137544340694627,0.7983560696372556,0.8261551012252519
