scope,group,core_cases,broad_cases
era,faers_early,3058,26532
era,faers_modern,25878,235847
era,laers,13122,76684
year,2004,1564,6364
year,2005,1616,6990
year,2006,1408,6468
year,2007,1428,7274
year,2008,1368,8100
year,2009,1496,8849
year,2010,1636,12722
year,2011,1579,11623
year,2012,1586,12617
year,2013,1793,14947
year,2014,1513,14375
year,2015,1538,20128
year,2016,1688,18086
year,2017,1891,19238
year,2018,2514,23463
year,2019,2484,20744
year,2020,2383,19254
year,2021,2055,17201
year,2022,2089,17783
year,2023,2113,18888
year,2024,2259,20167
year,2025,2642,21204
year,2026,1415,12578
