pt,tier,concept,reports,first_quarter,last_quarter,n_quarters,status
RHABDOMYOLYSIS,core,rhabdomyolysis,39099,2004q1,2026q2,90,OK
EXERTIONAL RHABDOMYOLYSIS,core,rhabdomyolysis,30,2024q2,2026q2,6,OK
MYOGLOBINURIA,core,myoglobin_release,506,2004q1,2026q2,87,OK
MYOGLOBIN URINE PRESENT,core,myoglobin_release,221,2004q1,2026q1,75,OK
MYOGLOBIN URINE,core,myoglobin_release,33,2005q1,2026q2,19,OK
MYOGLOBINAEMIA,core,myoglobin_release,118,2004q1,2026q2,53,OK
MYOGLOBIN BLOOD INCREASED,core,myoglobin_release,1436,2004q1,2026q2,90,OK
MYOGLOBIN BLOOD PRESENT,core,myoglobin_release,25,2004q1,2021q3,22,OK
MUSCLE NECROSIS,core,muscle_necrosis,882,2004q1,2026q2,90,OK
NECROTISING MYOSITIS,core,muscle_necrosis,778,2014q2,2026q2,49,OK
MYOPATHY,broad,myopathy,8233,2004q1,2026q2,90,OK
MYOPATHY TOXIC,broad,myopathy,573,2004q1,2026q2,85,OK
MYOSITIS,broad,myositis,8439,2004q1,2026q2,90,OK
MUSCLE DISORDER,broad,muscle_disorder,7910,2004q1,2026q2,90,OK
MUSCULAR WEAKNESS,broad,muscle_symptom,109416,2004q1,2026q2,90,OK
MYALGIA,broad,muscle_symptom,163419,2004q1,2026q2,90,OK
BLOOD CREATINE PHOSPHOKINASE INCREASED,broad,ck_increased,27880,2004q1,2026q1,89,OK
CREATINE KINASE INCREASED,broad,ck_increased,404,2026q2,2026q2,1,OK
BLOOD CREATINE PHOSPHOKINASE ABNORMAL,broad,ck_abnormal,441,2004q1,2026q1,87,OK
CREATINE KINASE ABNORMAL,broad,ck_abnormal,16,2026q2,2026q2,1,OK
BLOOD CREATINE PHOSPHOKINASE MM INCREASED,broad,ck_increased,25,2004q1,2025q3,20,OK
IMMUNE-MEDIATED NECROTISING MYOPATHY,broad,immune_myopathy,524,2012q3,2019q3,27,OK
IMMUNE-MEDIATED MYOSITIS,broad,immune_myopathy,2483,2019q4,2026q2,27,OK
