drug_a,drug_b,rr_a,rr_b,strength,n_ab,n_abz,omega,omega_lower,omega_add,omega_add_lower,signals_additive,signals_multiplicative,at_positive_control_strength
1 3 5 TRIMETHOXYBENZENE,ALPRAZOLAM,4.498,3.308,3.895,42,0,-1.666281,-11.658169,-1.125125,-11.117013,0,0,0
1 3 5 TRIMETHOXYBENZENE,BISOPROLOL,4.498,5.006,4.493,38,0,-1.895808,-11.887696,-1.223611,-11.215499,0,0,0
1 3 5 TRIMETHOXYBENZENE,CEFTRIAXONE,4.498,2.501,3.492,24,0,-1.025449,-11.017337,-0.673518,-10.665406,0,0,0
1 3 5 TRIMETHOXYBENZENE,CODEINE,4.498,2.003,3.171,37,0,-1.189119,-11.181007,-0.880506,-10.872393,0,0,0
1 3 5 TRIMETHOXYBENZENE,CYAMEMAZINE,4.498,20.739,6.544,37,0,-2.79846,-12.790348,-2.23441,-12.226298,0,0,1
1 3 5 TRIMETHOXYBENZENE,DESLORATADINE,4.498,7.006,4.978,25,0,-1.791931,-11.783819,-1.060156,-11.052044,0,0,0
1 3 5 TRIMETHOXYBENZENE,FUROSEMIDE,4.498,5.251,4.562,30,0,-1.742219,-11.734107,-1.059761,-11.051649,0,0,0
1 3 5 TRIMETHOXYBENZENE,HYDROCHLOROTHIAZIDE,4.498,3.187,3.842,25,0,-1.224381,-11.216269,-0.757578,-10.749465,0,0,0
1 3 5 TRIMETHOXYBENZENE,HYDROXYZINE,4.498,4.495,4.337,39,0,-1.83121,-11.823097,-1.194129,-11.186017,0,0,0
1 3 5 TRIMETHOXYBENZENE,KETOPROFEN,4.498,3.388,3.93,44,0,-1.704855,-11.696742,-1.171234,-11.163122,0,0,0
1 3 5 TRIMETHOXYBENZENE,LORAZEPAM,4.498,5.21,4.551,20,0,-1.405578,-11.397465,-0.782161,-10.774048,0,0,0
1 3 5 TRIMETHOXYBENZENE,MONTMORILLONITE,4.498,5.694,4.679,31,0,-1.656894,-11.648782,-1.122687,-11.114575,0,0,0
1 3 5 TRIMETHOXYBENZENE,NEFOPAM,4.498,4.579,4.365,73,0,-2.331278,-12.323166,-1.780994,-11.772882,0,0,0
1 3 5 TRIMETHOXYBENZENE,OMEPRAZOLE,4.498,2.41,3.438,45,5,1.974675,0.447209,2.390013,0.862548,1,1,0
1 3 5 TRIMETHOXYBENZENE,OXAZEPAM,4.498,9.713,5.449,35,0,-2.307968,-12.299856,-1.54137,-11.533258,0,0,0
1 3 5 TRIMETHOXYBENZENE,PHLOROGLUCINOL,4.498,2.894,3.702,505,5,0.045741,-1.481725,-0.382413,-1.909878,0,0,0
1 3 5 TRIMETHOXYBENZENE,PROPOFOL,4.498,16.555,6.219,34,0,-2.633931,-12.625818,-1.932602,-11.92449,0,0,0
1 3 5 TRIMETHOXYBENZENE,RACECADOTRIL,4.498,3.133,3.817,22,0,-1.043468,-11.035356,-0.680597,-10.672485,0,0,0
1 3 5 TRIMETHOXYBENZENE,SUFENTANIL,4.498,4.911,4.465,24,0,-1.49159,-11.483478,-0.874934,-10.866822,0,0,0
1 3 5 TRIMETHOXYBENZENE,SULFAMETHOXAZOLE,4.498,2.12,3.253,22,0,-0.866908,-10.858796,-0.595252,-10.58714,0,0,0
1 3 5 TRIMETHOXYBENZENE,TRAMADOL,4.498,2.907,3.709,73,0,-2.044973,-12.036861,-1.551998,-11.543886,0,0,0
1 3 5 TRIMETHOXYBENZENE,TRIMEBUTINE,4.498,2.83,3.67,30,0,-1.183491,-11.175379,-0.835546,-10.827434,0,0,0
1 3 5 TRIMETHOXYBENZENE,TRIMETHOPRIM,4.498,2.136,3.264,22,0,-0.871534,-10.863422,-0.596647,-10.588534,0,0,0
1 3 5 TRIMETHOXYBENZENE,ZOPICLONE,4.498,8.45,5.248,44,0,-2.385304,-12.377192,-1.665603,-11.657491,0,0,0
3 METHYLMETHCATHINONE,COCAINE,24.821,6.805,7.4,27,2,-0.511612,-3.100252,0.178894,-2.409746,0,0,1
3 METHYLMETHCATHINONE,DIAZEPAM,24.821,4.818,6.902,25,0,-2.682605,-12.674493,-1.984958,-11.976846,0,0,1
6 ACETYLMORPHINE,ALCOHOL,5.975,3.206,4.26,35,0,-1.517446,-11.509333,-1.126446,-11.118334,0,0,0
6 ACETYLMORPHINE,BENZOYLECGONINE,5.975,2.156,3.687,62,2,0.67344,-1.915201,0.822653,-1.765987,0,0,0
6 ACETYLMORPHINE,COCAINE,5.975,6.805,5.346,61,2,0.247495,-2.341145,0.332999,-2.255641,0,0,0
6 ACETYLMORPHINE,CODEINE,5.975,2.003,3.581,114,1,-0.519126,-4.316353,-0.515042,-4.312269,0,0,0
6 ACETYLMORPHINE,DIAMORPHINE,5.975,2.852,4.091,35,1,0.131203,-3.666024,0.492707,-3.30452,0,0,0
