drug_a,drug_b
ABACAVIR,DOLUTEGRAVIR
ABACAVIR,LAMIVUDINE
ABACAVIR,METHADONE
ABATACEPT,ACYCLOVIR
ABATACEPT,NICOTINE
ABEMACICLIB,KETOCONAZOLE
ABEMACICLIB,LOPERAMIDE
ABIRATERONE,DEXTROMETHORPHAN
ABIRATERONE,KETOCONAZOLE
ABIRATERONE,PIOGLITAZONE
ABIRATERONE,POTASSIUM
ABIRATERONE,PREDNISOLONE
ABIRATERONE,PREDNISONE
ABIRATERONE,REPAGLINIDE
ABIRATERONE,RIFAMPIN
ACARBOSE,CALCIUM
ACARBOSE,DIGOXIN
ACARBOSE,ISONIAZID
ACARBOSE,PHENYTOIN
ACETAZOLAMIDE,POTASSIUM
ACETAMINOPHEN,ACETYLCYSTEINE
ACITRETIN,DIGOXIN
ACITRETIN,GLYBURIDE
ACITRETIN,METHOTREXATE
ACITRETIN,PHENPROCOUMON
ACITRETIN,PHENYTOIN
ACITRETIN,WARFARIN
ACYCLOVIR,VALACYCLOVIR
ABATACEPT,ADALIMUMAB
ADALIMUMAB,AZATHIOPRINE
ADALIMUMAB,CYCLOPHOSPHAMIDE
ADALIMUMAB,CYCLOSPORINE
ADALIMUMAB,MERCAPTOPURINE
ADALIMUMAB,METHOTREXATE
ADALIMUMAB,RITUXIMAB
ADALIMUMAB,THEOPHYLLINE
ADALIMUMAB,WARFARIN
ADEFOVIR DIPIVOXIL,CYCLOSPORINE
ADEFOVIR DIPIVOXIL,LAMIVUDINE
ADEFOVIR DIPIVOXIL,TACROLIMUS
ADEFOVIR DIPIVOXIL,TENOFOVIR
ADEFOVIR DIPIVOXIL,TENOFOVIR ALAFENAMIDE
ADEFOVIR DIPIVOXIL,TENOFOVIR DISOPROXIL
ADEFOVIR DIPIVOXIL,VANCOMYCIN
ALBUTEROL,DIGOXIN
ALBUTEROL,POTASSIUM
ALENDRONATE,ASPIRIN
ALENDRONATE,CALCIUM
ALENDRONATE,LEVOTHYROXINE
ALFUZOSIN,ITRACONAZOLE
ALFUZOSIN,KETOCONAZOLE
ALFUZOSIN,RITONAVIR
ALISKIREN,CYCLOSPORINE
ALISKIREN,EPINEPHRINE
ALISKIREN,FUROSEMIDE
ALISKIREN,ITRACONAZOLE
ALISKIREN,POTASSIUM
ALCOHOL,ALLOPURINOL
ALLOPURINOL,AMOXICILLIN
ALLOPURINOL,AMPICILLIN
ALLOPURINOL,AZATHIOPRINE
ALLOPURINOL,BENDAMUSTINE
ALLOPURINOL,CALCIUM
ALLOPURINOL,CAPECITABINE
ALLOPURINOL,COLCHICINE
ALLOPURINOL,CYCLOPHOSPHAMIDE
ALLOPURINOL,CYCLOSPORINE
ALLOPURINOL,DOXORUBICIN
ALLOPURINOL,FLUOROURACIL
ALLOPURINOL,MERCAPTOPURINE
ALLOPURINOL,THEOPHYLLINE
ALLOPURINOL,WARFARIN
ACETAZOLAMIDE,ALOGLIPTIN
ALCOHOL,ALOGLIPTIN
ALOGLIPTIN,CALCIUM
ALOGLIPTIN,DOLUTEGRAVIR
ALOGLIPTIN,ISONIAZID
ALOGLIPTIN,METFORMIN
ALOGLIPTIN,PHENYTOIN
ALOGLIPTIN,RANOLAZINE
ALOGLIPTIN,TOPIRAMATE
ALOGLIPTIN,ZONISAMIDE
ALCOHOL,ALPRAZOLAM
ALPRAZOLAM,BENZODIAZEPINE
ALPRAZOLAM,BUPRENORPHINE
ALPRAZOLAM,CARBAMAZEPINE
ALPRAZOLAM,CLARITHROMYCIN
ALPRAZOLAM,CODEINE
ALPRAZOLAM,DIGOXIN
ALPRAZOLAM,DIHYDROCODEINE
ALPRAZOLAM,ERYTHROMYCIN
ALPRAZOLAM,FENTANYL
ALPRAZOLAM,FLUVOXAMINE
ALPRAZOLAM,HYDROMORPHONE
ALPRAZOLAM,ITRACONAZOLE
ALPRAZOLAM,KETOCONAZOLE
ALPRAZOLAM,MEPERIDINE
ALPRAZOLAM,METHADONE
ALPRAZOLAM,MORPHINE
ALPRAZOLAM,NEFAZODONE
ALPRAZOLAM,OXYCODONE
ALPRAZOLAM,OXYMORPHONE
ALPRAZOLAM,PHENYTOIN
ALPRAZOLAM,REMIFENTANIL
ALPRAZOLAM,RITONAVIR
ALPRAZOLAM,SUFENTANIL
ALPRAZOLAM,TAPENTADOL
ALPRAZOLAM,TRAMADOL
AMANTADINE,HYDROCHLOROTHIAZIDE
AMANTADINE,QUININE
AMIODARONE,AMPHOTERICIN B
AMIODARONE,ATORVASTATIN
AMIODARONE,CHOLESTYRAMINE
AMIODARONE,CLONIDINE
AMIODARONE,CYCLOSPORINE
AMIODARONE,DIGOXIN
AMIODARONE,DILTIAZEM
AMIODARONE,FENTANYL
AMIODARONE,IVABRADINE
AMIODARONE,LEDIPASVIR
AMIODARONE,LIDOCAINE
AMIODARONE,LITHIUM
AMIODARONE,LOVASTATIN
AMIODARONE,PHENYTOIN
AMIODARONE,PREDNISONE
AMIODARONE,SIMEPREVIR
AMIODARONE,SIMVASTATIN
AMIODARONE,SOFOSBUVIR
AMIODARONE,VERAPAMIL
AMIODARONE,WARFARIN
AMISULPRIDE,DOPAMINE
AMISULPRIDE,LEVODOPA
AMISULPRIDE,ONDANSETRON
ALCOHOL,AMITRIPTYLINE
AMITRIPTYLINE,DISULFIRAM
AMITRIPTYLINE,EPINEPHRINE
AMITRIPTYLINE,FLUOXETINE
AMITRIPTYLINE,PAROXETINE
AMITRIPTYLINE,PROPAFENONE
AMITRIPTYLINE,SERTRALINE
AMITRIPTYLINE,TOPIRAMATE
AMLODIPINE,CYCLOSPORINE
AMLODIPINE,SILDENAFIL
AMLODIPINE,SIMVASTATIN
AMLODIPINE,TACROLIMUS
ALCOHOL,AMOXAPINE
AMOXAPINE,FLUOXETINE
AMOXAPINE,PAROXETINE
AMOXAPINE,PROPAFENONE
AMOXAPINE,SERTRALINE
AMOXICILLIN,CLAVULANATE
AMOXICILLIN,POTASSIUM
AMOXICILLIN,PROBENECID
ACETAZOLAMIDE,AMPHETAMINE
AMPHETAMINE,ASCORBIC ACID
AMPHETAMINE,CHLORPROMAZINE
AMPHETAMINE,DOPAMINE
AMPHETAMINE,FLUOXETINE
AMPHETAMINE,HALOPERIDOL
AMPHETAMINE,LITHIUM
AMPHETAMINE,MEPERIDINE
AMPHETAMINE,NOREPINEPHRINE
AMPHETAMINE,PAROXETINE
AMPHETAMINE,PHENOBARBITAL
AMPHETAMINE,PHENYTOIN
AMPHETAMINE,PROPOXYPHENE
AMPHETAMINE,RITONAVIR
AMPHETAMINE,SODIUM BICARBONATE
ACETAZOLAMIDE,AMPHETAMINE ASPARTATE
AMPHETAMINE,AMPHETAMINE ASPARTATE
AMPHETAMINE ASPARTATE,ASCORBIC ACID
AMPHETAMINE ASPARTATE,BUSPIRONE
AMPHETAMINE ASPARTATE,CHLORPROMAZINE
AMPHETAMINE ASPARTATE,DEXTROAMPHETAMINE
AMPHETAMINE ASPARTATE,DEXTROAMPHETAMINE SACCHARATE
AMPHETAMINE ASPARTATE,DOPAMINE
AMPHETAMINE ASPARTATE,FENTANYL
AMPHETAMINE ASPARTATE,FLUOXETINE
AMPHETAMINE ASPARTATE,HALOPERIDOL
AMPHETAMINE ASPARTATE,LINEZOLID
AMPHETAMINE ASPARTATE,LITHIUM
AMPHETAMINE ASPARTATE,LOVASTATIN
AMPHETAMINE ASPARTATE,MEPERIDINE
AMPHETAMINE ASPARTATE,METHYLENE BLUE
AMPHETAMINE ASPARTATE,NOREPINEPHRINE
AMPHETAMINE ASPARTATE,OMEPRAZOLE
AMPHETAMINE ASPARTATE,PAROXETINE
AMPHETAMINE ASPARTATE,PHENOBARBITAL
AMPHETAMINE ASPARTATE,PHENYTOIN
AMPHETAMINE ASPARTATE,PROPOXYPHENE
AMPHETAMINE ASPARTATE,RITONAVIR
AMPHETAMINE ASPARTATE,SELEGILINE
AMPHETAMINE ASPARTATE,SODIUM BICARBONATE
AMPHETAMINE ASPARTATE,TRAMADOL
AMPHOTERICIN B,FLUCONAZOLE
AMPHOTERICIN B,KETOCONAZOLE
AMPHOTERICIN B,MICONAZOLE
AMPHOTERICIN B,POTASSIUM
AMPICILLIN,PROBENECID
AMPICILLIN,SULBACTAM
ANASTROZOLE,TAMOXIFEN
ANASTROZOLE,WARFARIN
APIXABAN,ASPIRIN
APIXABAN,CARBAMAZEPINE
APIXABAN,CLARITHROMYCIN
APIXABAN,CLOPIDOGREL
APIXABAN,DESMOPRESSIN
APIXABAN,HEPARIN
APIXABAN,ITRACONAZOLE
APIXABAN,KETOCONAZOLE
APIXABAN,NOREPINEPHRINE
APIXABAN,PHENYTOIN
APIXABAN,RIFAMPIN
APIXABAN,RITONAVIR
APIXABAN,TRANEXAMIC ACID
APIXABAN,WARFARIN
ALPRAZOLAM,APREPITANT
APREPITANT,BENZODIAZEPINE
APREPITANT,CARBAMAZEPINE
APREPITANT,CLARITHROMYCIN
APREPITANT,DEXAMETHASONE
APREPITANT,DILTIAZEM
APREPITANT,DOCETAXEL
APREPITANT,ETOPOSIDE
APREPITANT,IFOSFAMIDE
APREPITANT,ITRACONAZOLE
APREPITANT,KETOCONAZOLE
