quarter,era,table,member,output,output_bytes,rows_raw,rows_parsed,rows_skipped,id_nulls,decode_errors,rows_with_trailing_field,surplus_values,n_columns,columns
2004q1,laers,demo,ascii/DEMO04Q1.TXT,data/interim/parquet/demo/demo_2004q1.parquet,1517826,65902,65902,0,7,0,65902,0,22,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid
2004q2,laers,demo,ascii/DEMO04Q2.TXT,data/interim/parquet/demo/demo_2004q2.parquet,1394122,60162,60162,0,0,0,60162,0,22,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid
2004q3,laers,demo,ascii/DEMO04Q3.TXT,data/interim/parquet/demo/demo_2004q3.parquet,1718667,75321,75321,0,0,0,75321,0,22,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid
2004q4,laers,demo,ascii/DEMO04Q4.TXT,data/interim/parquet/demo/demo_2004q4.parquet,1617890,70632,70632,0,0,0,70632,0,22,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid
2005q1,laers,demo,ascii/DEMO05Q1.TXT,data/interim/parquet/demo/demo_2005q1.parquet,1749283,75918,75918,0,0,0,75918,0,22,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid
2005q2,laers,demo,ascii/DEMO05Q2.TXT,data/interim/parquet/demo/demo_2005q2.parquet,1861932,80524,80524,0,0,0,80524,0,22,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid
2005q3,laers,demo,ascii/DEMO05Q3.TXT,data/interim/parquet/demo/demo_2005q3.parquet,1885301,81188,81188,0,0,0,81188,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2005q4,laers,demo,ascii/DEMO05Q4.TXT,data/interim/parquet/demo/demo_2005q4.parquet,2007833,88342,88342,0,0,0,88342,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2006q1,laers,demo,ascii/DEMO06Q1.TXT,data/interim/parquet/demo/demo_2006q1.parquet,2059010,89343,89343,0,0,0,89343,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2006q2,laers,demo,ascii/DEMO06Q2.TXT,data/interim/parquet/demo/demo_2006q2.parquet,1893594,79449,79449,0,0,0,79449,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2006q3,laers,demo,ascii/DEMO06Q3.TXT,data/interim/parquet/demo/demo_2006q3.parquet,1694003,71595,71595,0,0,0,71595,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2006q4,laers,demo,ascii/DEMO06Q4.TXT,data/interim/parquet/demo/demo_2006q4.parquet,1860305,83102,83102,0,0,0,83102,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2007q1,laers,demo,ascii/DEMO07Q1.TXT,data/interim/parquet/demo/demo_2007q1.parquet,2044207,88622,88622,0,0,0,88622,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2007q2,laers,demo,ascii/DEMO07Q2.TXT,data/interim/parquet/demo/demo_2007q2.parquet,1964506,83723,83723,0,0,0,83723,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2007q3,laers,demo,ascii/DEMO07Q3.TXT,data/interim/parquet/demo/demo_2007q3.parquet,2103122,95813,95813,0,0,0,95813,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2007q4,laers,demo,ascii/DEMO07Q4.TXT,data/interim/parquet/demo/demo_2007q4.parquet,2348148,109615,109615,0,0,0,109615,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2008q1,laers,demo,ascii/DEMO08Q1.TXT,data/interim/parquet/demo/demo_2008q1.parquet,2315397,104042,104042,0,0,0,104042,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2008q2,laers,demo,ascii/DEMO08Q2.TXT,data/interim/parquet/demo/demo_2008q2.parquet,2383874,107095,107095,0,0,0,107095,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2008q3,laers,demo,ascii/DEMO08Q3.TXT,data/interim/parquet/demo/demo_2008q3.parquet,2415825,108039,108039,0,0,0,108039,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2008q4,laers,demo,ascii/DEMO08Q4.TXT,data/interim/parquet/demo/demo_2008q4.parquet,2614742,120643,120643,0,0,0,120643,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2009q1,laers,demo,ascii/DEMO09Q1.TXT,data/interim/parquet/demo/demo_2009q1.parquet,2458983,110971,110971,0,0,0,110971,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2009q2,laers,demo,ascii/DEMO09Q2.TXT,data/interim/parquet/demo/demo_2009q2.parquet,2510118,112029,112029,0,0,0,112029,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2009q3,laers,demo,ascii/DEMO09Q3.TXT,data/interim/parquet/demo/demo_2009q3.parquet,2822558,129685,129685,0,0,0,129685,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2009q4,laers,demo,ascii/DEMO09Q4.TXT,data/interim/parquet/demo/demo_2009q4.parquet,2964352,137312,137312,0,0,0,137312,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2010q1,laers,demo,ascii/DEMO10Q1.TXT,data/interim/parquet/demo/demo_2010q1.parquet,2908155,135784,135784,0,0,0,135784,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2010q2,laers,demo,ascii/DEMO10Q2.TXT,data/interim/parquet/demo/demo_2010q2.parquet,3043567,143995,143995,0,0,0,143995,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
2010q3,laers,demo,ascii/DEMO10Q3.TXT,data/interim/parquet/demo/demo_2010q3.parquet,3951016,208936,208936,0,0,0,208936,0,23,report_id;case_id;i_f_cod;foll_seq;image;event_dt;mfr_dt;fda_dt;rept_cod;mfr_num;mfr_sndr;age;age_cod;sex;e_sub;wt;wt_cod;rept_dt;occp_cod;death_dt;to_mfr;confid;reporter_country
