table,quarter,era,change,added,removed,n_columns,previous_quarter
demo,2004q1,laers,first_observed,age;age_cod;case;confid;death_dt;e_sub;event_dt;fda_dt;foll_seq;gndr_cod;i_f_cod;image;isr;mfr_dt;mfr_num;mfr_sndr;occp_cod;rept_cod;rept_dt;to_mfr;wt;wt_cod,,22,
demo,2005q3,laers,columns_changed,reporter_country,,23,2005q2
demo,2012q4,faers_early,columns_changed,caseid;caseversion;i_f_code;init_fda_dt;occr_country;primaryid,case;confid;death_dt;foll_seq;i_f_cod;image;isr,22,2012q3
demo,2014q3,faers_modern,columns_changed,age_grp;auth_num;lit_ref;sex,gndr_cod,25,2014q2
drug,2004q1,laers,first_observed,dechal;dose_vbm;drug_seq;drugname;exp_dt;isr;lot_num;nda_num;rechal;role_cod;route;val_vbm,,12,
drug,2012q4,faers_early,columns_changed,caseid;cum_dose_chr;cum_dose_unit;dose_amt;dose_form;dose_freq;dose_unit;lot_nbr;﻿primaryid,isr;lot_num,19,2012q3
drug,2013q1,faers_early,columns_changed,lot_num;primaryid,lot_nbr;﻿primaryid,19,2012q4
drug,2014q3,faers_modern,columns_changed,prod_ai,,20,2014q2
indi,2004q1,laers,first_observed,drug_seq;indi_pt;isr,,3,
indi,2012q4,faers_early,columns_changed,caseid;indi_drug_seq;primaryid,drug_seq;isr,4,2012q3
outc,2004q1,laers,first_observed,isr;outc_cod,,2,
outc,2012q4,faers_early,columns_changed,caseid;outc_code;primaryid,isr;outc_cod,3,2012q3
outc,2013q1,faers_early,columns_changed,outc_cod,outc_code,3,2012q4
reac,2004q1,laers,first_observed,isr;pt,,2,
reac,2012q4,faers_early,columns_changed,caseid;primaryid,isr,3,2012q3
reac,2014q3,faers_modern,columns_changed,drug_rec_act,,4,2014q2
rpsr,2004q1,laers,first_observed,isr;rpsr_cod,,2,
rpsr,2012q4,faers_early,columns_changed,caseid;primaryid,isr,3,2012q3
stat,2004q1,laers,first_observed,,,0,
ther,2004q1,laers,first_observed,drug_seq;dur;dur_cod;end_dt;isr;start_dt,,6,
ther,2012q4,faers_early,columns_changed,caseid;dsg_drug_seq;primaryid,drug_seq;isr,7,2012q3
