drug_a,drug_b,support,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower,naive_log2_oe,eras_with_signal,om025_2004-2012,om025_2013-2018,om025_2019-2026
PALIPERIDONE,SODIUM CHLORIDE,unsupported,47,30,0.27283454825755127,5.302505843600373,4.739947990997226,0.087368577005953,5.698399345899319,5.135841493296173,4.47065678183396,1,,,4.601450058858606
PAROXETINE,ROCURONIUM,unsupported,55,41,1.1536361370871366,4.649397609757607,4.173817896924059,3.008890278383212,3.564024595407159,3.088444882573612,6.25344073465302,1,,-10.212655045947576,3.8998232922308698
CLOZAPINE,SODIUM CHLORIDE,unsupported,165,30,0.7224473851262269,4.640964965515024,4.0784071129118775,0.23154055565163303,5.381727584743195,4.8191697321400495,3.581514369303437,1,-10.12257938718531,-10.140778194855141,4.250108387973643
QUETIAPINE,ROCURONIUM,unsupported,60,41,1.4802676777000552,4.38934397518902,3.913764262355474,4.771508433632286,2.976823585550534,2.5012438727169872,6.1195559603211525,1,-2.5240644125899516,,3.720521874851697
OMEPRAZOLE,RANOLAZINE,plausible,40,23,0.5389985838561332,4.499395163811958,3.8495888259007343,1.0088565698217282,3.9611331802342935,3.31132684232307,5.251069490948288,2,-1.2478392726231082,2.4809120757429493,3.1614435043440863
DEXTROAMPHETAMINE,PAROXETINE,unsupported,116,30,1.1566478494175894,4.202470373441816,3.6399125208386707,1.8356124028039573,3.7069364601551626,3.1443786075520164,5.582887262588346,2,-10.25348301379145,3.6661341218440735,1.856541800367366
NOREPINEPHRINE,PAROXETINE,unsupported,61,42,1.9910820505956086,4.092618394672208,3.6231304250805145,5.645975011770233,2.789749034886692,2.320261065294998,6.318021941623059,1,,-10.489134398503687,3.5602985203296136
CODEINE,RALTEGRAVIR,plausible,15,14,0.15952863991452015,4.458473780400876,3.604730935389019,0.25590557727544466,4.261703056235464,3.4079602112236076,4.728534996428826,1,,,3.6430805963751425
DIAZEPAM,ROCURONIUM,unsupported,88,42,2.03660451807179,4.066492329740288,3.597004360148594,5.94254097617074,2.7217611281226053,2.2522731585309113,6.30034153927461,1,-2.736526754275881,-10.346774410116334,3.6091997480017626
CODEINE,RITONAVIR,plausible,31,14,0.16398192049867916,4.44876513091563,3.5950222859037737,0.20039212234897943,4.37174623284537,3.5180033878335135,3.9616895091962565,1,-10.087326855738958,-10.062765148711078,3.7274632995254584
CYCLOSPORINE,DILTIAZEM,known_pair,81,32,1.360415749289125,4.126742754913568,3.5834435439899575,3.225681421535619,3.124863496564403,2.5815642856407925,5.582796231876388,2,2.6759927636371534,0.3205435563477367,2.564814163478385
CODEINE,LOSARTAN,unsupported,175,36,1.657313567885511,4.080588669838931,3.5706611460382796,2.552878848567532,3.579654220576358,3.069726696775707,5.853452017749719,1,0.26717016692385864,-2.7338186904157866,3.864616043374353
RANOLAZINE,SERTRALINE,plausible,39,21,0.6452876773389858,4.230554729706042,3.5476635191313646,1.5681673750472194,3.377911808227539,2.6950205976528614,5.195227302842869,2,-3.4899606012023305,2.5955163740498937,3.060307488259054
RALTEGRAVIR,TRAMADOL,plausible,36,18,0.45016398283102593,4.283204939913516,3.5400933349035753,0.8881842440869101,3.736254306077122,2.9931427010671814,4.930422215109472,1,,-10.379814413640805,3.9005383787567993
CLONAZEPAM,ROCURONIUM,unsupported,105,43,2.229345162282911,3.994388641571807,3.5307697616064626,5.79221152035545,2.789376326328656,2.3257574463633115,6.329771624600966,1,-2.499727803669391,-0.7337782546102188,3.534692920062826
FLUVOXAMINE,ROCURONIUM,unsupported,45,41,2.1041624982408105,3.9942199566944896,3.5186402438609425,8.46706549432306,2.2104034963074284,1.734823783473881,6.365240141576301,1,,,3.1900220360665617
SIROLIMUS,WARFARIN,plausible,58,17,0.397498352658566,4.285301820933964,3.518444971525781,0.5011640869772034,4.127604571174795,3.360747721766612,4.829450018064119,2,-10.066545013377072,2.6761378921163406,2.2627542907097515
CLONAZEPAM,SEVOFLURANE,unsupported,56,41,2.1398464603409155,3.9745854098489586,3.4990056970154115,6.322782309188527,2.604679245601273,2.129099532767726,6.278917949679164,1,,,3.421770466979384
DICLOFENAC,SODIUM CHLORIDE,unsupported,107,17,0.42479875414007146,4.24207165754602,3.475214808137837,0.13580068823882202,4.782636533673209,4.015779684265026,3.1152222176076356,1,-10.497239378240796,-10.263904786368206,3.923284950844094
NALOXONE,ZOPICLONE,unsupported,102,37,1.9243449716934005,3.951223689069357,3.4487441490055155,2.9030233689861547,3.462001631992056,2.959522091928214,6.099719797619874,1,-10.415420109251162,-10.892149212899009,3.8446831486247293
