drug_a,drug_b,mechanism,expected_strength,n_ab,n_abz,expected,omega,omega_lower,additive_expected,omega_add,omega_add_lower,naive_log2_oe,rr_a,rr_b,signal,signal_multiplicative,tier,policy
SIMVASTATIN,AMIODARONE,CYP3A4 inhibition,established,649,145,189.54,-0.385,-0.63,71.67,1.012,0.767,7.692,48.584,5.862,True,False,core,primary
SIMVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,499,236,216.03,0.127,-0.063,59.41,1.981,1.791,8.509,48.584,10.043,True,False,core,primary
SIMVASTATIN,ITRACONAZOLE,CYP3A4 inhibition,established,182,81,67.41,0.263,-0.068,21.27,1.904,1.573,7.23,48.584,8.983,True,False,core,primary
SIMVASTATIN,GEMFIBROZIL,glucuronidation + OATP1B1,established,511,287,377.77,-0.396,-0.568,144.45,0.988,0.816,9.124,48.584,89.238,True,False,core,primary
SIMVASTATIN,CYCLOSPORINE,OATP1B1 + CYP3A4,established,456,324,123.96,1.382,1.221,48.13,2.738,2.577,8.252,48.584,3.505,True,True,core,primary
SIMVASTATIN,DILTIAZEM,CYP3A4 inhibition,established,496,144,121.23,0.247,0.002,54.53,1.393,1.147,7.887,48.584,5.624,True,True,core,primary
SIMVASTATIN,VERAPAMIL,CYP3A4 inhibition,established,286,58,80.57,-0.471,-0.866,31.48,0.871,0.476,6.642,48.584,5.695,True,False,core,primary
LOVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,13,4,5.71,-0.466,-2.202,1.18,1.418,-0.319,3.148,35.045,10.043,False,False,core,primary
LOVASTATIN,ITRACONAZOLE,CYP3A4 inhibition,established,1,1,0.42,0.71,-3.087,0.09,1.349,-2.448,1.579,35.045,8.983,False,False,core,primary
ATORVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,339,72,109.14,-0.597,-0.949,22.7,1.644,1.291,6.488,23.364,10.043,True,False,core,primary
ATORVASTATIN,GEMFIBROZIL,OATP1B1 + glucuronidation,probable,383,57,278.09,-2.277,-2.676,88.31,-0.627,-1.026,6.757,23.364,89.238,False,False,core,primary
ROSUVASTATIN,GEMFIBROZIL,OATP1B1 inhibition,established,127,39,108.33,-1.462,-1.951,30.69,0.341,-0.148,6.254,28.71,89.238,False,False,core,primary
ROSUVASTATIN,CYCLOSPORINE,OATP1B1 + BCRP,established,172,48,32.76,0.544,0.107,11.09,2.065,1.628,5.393,28.71,3.505,True,True,core,primary
COLCHICINE,CLARITHROMYCIN,CYP3A4 + P-gp,established,323,42,90.23,-1.094,-1.564,22.25,0.901,0.432,6.338,24.304,10.043,True,False,core,primary
COLCHICINE,CYCLOSPORINE,P-gp inhibition,established,475,93,64.7,0.52,0.212,26.31,1.802,1.494,7.292,24.304,3.505,True,True,core,primary
COLCHICINE,ATORVASTATIN,CYP3A4 + P-gp,probable,524,154,233.23,-0.597,-0.834,50.52,1.598,1.361,7.954,24.304,23.364,True,False,core,primary
SIMVASTATIN,AMIODARONE,CYP3A4 inhibition,established,649,234,233.9,0.001,-0.19,188.83,0.309,0.118,6.776,16.718,1.778,True,False,broad,primary
SIMVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,499,355,243.87,0.541,0.387,154.26,1.2,1.046,7.706,16.718,2.871,True,True,broad,primary
SIMVASTATIN,ITRACONAZOLE,CYP3A4 inhibition,established,182,127,92.35,0.458,0.196,57.28,1.142,0.88,7.238,16.718,3.206,True,True,broad,primary
SIMVASTATIN,GEMFIBROZIL,glucuronidation + OATP1B1,established,511,381,422.18,-0.148,-0.296,287.07,0.408,0.259,9.258,16.718,18.063,True,False,broad,primary
SIMVASTATIN,CYCLOSPORINE,OATP1B1 + CYP3A4,established,456,387,139.78,1.466,1.319,128.12,1.591,1.444,6.264,16.718,1.177,True,True,broad,primary
SIMVASTATIN,DILTIAZEM,CYP3A4 inhibition,established,496,192,187.26,0.036,-0.175,146.67,0.387,0.176,7.114,16.718,2.064,True,False,broad,primary
SIMVASTATIN,VERAPAMIL,CYP3A4 inhibition,established,286,92,91.37,0.01,-0.3,81.99,0.165,-0.145,6.28,16.718,1.52,False,False,broad,primary
LOVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,13,4,6.58,-0.653,-2.39,3.76,0.08,-1.657,3.003,15.51,2.871,False,False,broad,primary
LOVASTATIN,ITRACONAZOLE,CYP3A4 inhibition,established,1,1,0.54,0.533,-3.264,0.29,0.917,-2.881,1.535,15.51,3.206,False,False,broad,primary
ATORVASTATIN,CLARITHROMYCIN,CYP3A4 inhibition,established,339,120,139.92,-0.221,-0.491,78.11,0.616,0.346,5.34,11.985,2.871,True,False,broad,primary
ATORVASTATIN,GEMFIBROZIL,OATP1B1 + glucuronidation,probable,383,125,309.06,-1.303,-1.567,185.02,-0.564,-0.828,7.38,11.985,18.063,False,False,broad,primary
ROSUVASTATIN,GEMFIBROZIL,OATP1B1 inhibition,established,127,56,109.11,-0.956,-1.359,62.84,-0.165,-0.568,6.458,12.693,18.063,False,False,broad,primary
ROSUVASTATIN,CYCLOSPORINE,OATP1B1 + BCRP,established,172,52,41.91,0.308,-0.111,36.81,0.493,0.074,3.187,12.693,1.177,True,False,broad,primary
COLCHICINE,CLARITHROMYCIN,CYP3A4 + P-gp,established,323,80,76.95,0.056,-0.278,43.78,0.862,0.529,6.834,6.279,2.871,True,False,broad,primary
COLCHICINE,CYCLOSPORINE,P-gp inhibition,established,475,133,55.98,1.241,0.985,51.0,1.374,1.118,6.709,6.279,1.177,True,True,broad,primary
