drug_a,drug_b,event_cases,overdose_fraction,overdose_vs_background,eras_with_signal,eras_signalled,top_indications,om025_2004-2012,om025_2013-2018,om025_2019-2026,support
PALIPERIDONE,SODIUM CHLORIDE,30,0.0,0.0,1,2019-2026,PRODUCT USED FOR UNKNOWN INDICATION(24);HYPONATRAEMIA(1),,-10.018,4.601,unsupported
PAROXETINE,ROCURONIUM,41,0.0,0.0,1,2019-2026,DEPRESSION(41);HYPOTENSION(41);INDUCTION OF ANAESTHESIA(40),-2.294,-10.213,3.9,unsupported
CLOZAPINE,SODIUM CHLORIDE,30,0.0,0.0,1,2019-2026,PRODUCT USED FOR UNKNOWN INDICATION(24);HYPONATRAEMIA(1),-10.123,-10.141,4.25,unsupported
QUETIAPINE,ROCURONIUM,41,0.0,0.0,1,2019-2026,HYPOTENSION(41);DEPRESSION(41);ANAESTHESIA(40),-2.524,,3.721,unsupported
OMEPRAZOLE,RANOLAZINE,23,0.087,0.66,2,2013-2018;2019-2026,ANGINA PECTORIS(19);PRODUCT USED FOR UNKNOWN INDICATION(19);HYPERCHOLESTEROLAEMIA(14),-1.248,2.481,3.161,plausible
DEXTROAMPHETAMINE,PAROXETINE,30,0.1333,1.01,2,2013-2018;2019-2026,PRODUCT USED FOR UNKNOWN INDICATION(22);INSOMNIA(17);PARKINSONISM(8),-10.253,3.666,1.857,unsupported
NOREPINEPHRINE,PAROXETINE,42,0.0238,0.18,1,2019-2026,DEPRESSION(41);HYPOTENSION(41);PRODUCT USED FOR UNKNOWN INDICATION(40),-2.54,-10.489,3.56,unsupported
CODEINE,RALTEGRAVIR,14,0.0,0.0,1,2019-2026,PAIN IN EXTREMITY(14);HIV INFECTION(14);PRODUCT USED FOR UNKNOWN INDICATION(13),,-10.018,3.643,plausible
DIAZEPAM,ROCURONIUM,42,0.0,0.0,1,2019-2026,ANAESTHESIA(40);PREOPERATIVE CARE(40);DEPRESSION(40),-2.737,-10.347,3.609,unsupported
CODEINE,RITONAVIR,14,0.0,0.0,1,2019-2026,PAIN IN EXTREMITY(14);HIV INFECTION(14);PRODUCT USED FOR UNKNOWN INDICATION(13),-10.087,-10.063,3.727,plausible
